因子名,因子说明,因子类别,因子类别2,因子周期,因子备注
OperateNetIncome,经营活动净收益,基础科目及衍生类因子,,d, 经营活动净收益/利润总额(%) * 利润总额
VOL60,60日平均换手率,情绪类因子,,d," 60日换手率的均值,单位为%"
cash_rate_of_sales,经营活动产生的现金流量净额与营业收入之比,质量类因子,,d, 经营活动产生的现金流量净额（TTM） / 营业收入（TTM）
operating_profit_to_operating_revenue,营业利润与营业总收入之比,质量类因子,,d, 营业利润与营业总收入之比=营业利润（TTM）/营业总收入（TTM）
turnover_volatility,换手率相对波动率,情绪类因子,,d, 取20个交易日个股换手率的标准差
roa_ttm,资产回报率TTM,质量类因子,,d, 资产回报率=净利润（TTM）/期末总资产
admin_expense_rate,管理费用与营业总收入之比,质量类因子,,d, 管理费用与营业总收入之比=管理费用（TTM）/营业总收入（TTM）
fixed_assets_turnover_rate,固定资产周转率,质量类因子,,d, 等于过去12个月的营业收入/过去12个月的平均（固定资产+工程物资+在建工程）
invest_income_associates_to_total_profit,对联营和合营公司投资收益/利润总额,质量类因子,,d, 对联营和营公司投资收益/利润总额
EBITDA,息税折旧摊销前利润,基础科目及衍生类因子,,d,  =营业收入－经营成本－营业税及附加
equity_to_asset_ratio,股东权益比率,质量类因子,,d, 股东权益比率=股东权益/总资产
VOL120,120日平均换手率,情绪类因子,,d," 120日换手率的均值,单位为%"
ACCA,现金流资产比和资产回报率之差,质量类因子,,d," 现金流资产比-资产回报率,其中现金流资产比=经营活动产生的现金流量净额/总资产"
money_flow_20,20日资金流量,情绪类因子,,d, 用收盘价、最高价及最低价的均值乘以当日成交量即可得到该交易日的资金流量
roe_ttm,权益回报率TTM,质量类因子,,d, 权益回报率=净利润（TTM）/期末股东权益
gross_income_ratio,销售毛利率,质量类因子,,d, 销售毛利率=(营业收入（TTM）-营业成本（TTM）)/营业收入（TTM）
adjusted_profit_to_total_profit,扣除非经常损益后的净利润/净利润,质量类因子,,d, 扣除非经常损益后的净利润/净利润
equity_turnover_rate,股东权益周转率,质量类因子,,d, 股东权益周转率=营业收入(ttm)/股东权益
cashflow_per_share_ttm,每股现金流量净额，根据当时日期来获取最近变更日的总股本,每股指标因子,,d, 现金流量净额（TTM）除以总股本
VEMA5,成交量的5日指数移动平均,情绪类因子,,d,
VEMA12,成交量的12日指数移动平均,情绪类因子,,d,
VOL240,240日平均换手率,情绪类因子,,d," 240日换手率的均值,单位为%"
VEMA26,成交量的26日指数移动平均,情绪类因子,,d,
VOSC,成交量震荡,情绪类因子,,d, 'VEMA12'和'VEMA26'两者的差值，再求差值与'VEMA12'的比，最后将比值放大100倍，得到VOSC值
TVSTD6,6日成交金额的标准差,情绪类因子,,d, 6日成交额的标准差
total_profit_to_cost_ratio,成本费用利润率,质量类因子,,d, 成本费用利润率=利润总额/(营业成本+财务费用+销售费用+管理费用)，以上科目使用的都是TTM的数值
operating_cost_to_operating_revenue_ratio,销售成本率,质量类因子,,d, 销售成本率=营业成本（TTM）/营业收入（TTM）
MAC5,5日移动均线,技术指标因子,,d, 5日移动均线 / 今日收盘价
boll_up,上轨线（布林线）指标,技术指标因子,,d," (MA(CLOSE,M)+2*STD(CLOSE,M)) / 今日收盘价; M=20"
MAC120,120日移动均线,技术指标因子,,d, 120日移动均线 / 今日收盘价
boll_down,下轨线（布林线）指标,技术指标因子,,d," (MA(CLOSE,M)-2*STD(CLOSE,M)) / 今日收盘价; M=20"
MAC20,20日移动均线,技术指标因子,,d, 20日移动均线 / 今日收盘价
MAC10,10日移动均线,技术指标因子,,d, 10日移动均线 / 今日收盘价
Price1M,当前股价除以过去一个月股价均值再减1,动量类因子,,d, 当日收盘价 / mean(过去一个月(21天)的收盘价) -1
PLRC12,12日收盘价格与日期线性回归系数,动量类因子,,d, 计算 12 日收盘价格，与日期序号（1-12）的线性回归系数，(close / mean(close)) = beta * t + alpha
ROC12,12日变动速率,动量类因子,,d, ①AX=今天的收盘价—12天前的收盘价 ②BX=12天前的收盘价 ③ROC=AX/BX*100
ROC120,120日变动速率,动量类因子,,d, ①AX=今天的收盘价—20天前的收盘价 ②BX=60天前的收盘价 ③ROC=AX/BX*100
ROC20,20日变动速率,动量类因子,,d, ①AX=今天的收盘价—20天前的收盘价 ②BX=20天前的收盘价 ③ROC=AX/BX*100
single_day_VPT_12,单日价量趋势12均值,动量类因子,,d," MA(single_day_VPT, 12)"
Volume1M,当前交易量相比过去1个月日均交易量 与过去过去20日日均收益率乘积,动量类因子,,d, 当日交易量 / 过去20日交易量MEAN * 过去20日收益率MEAN
CCI20,20日顺势指标,动量类因子,,d," CCI:=(TYP-MA(TYP,N))/(0.015*AVEDEV(TYP,N)); TYP:=(HIGH+LOW+CLOSE)/3; N:=20"
PLRC6,6日收盘价格与日期线性回归系数,动量类因子,,d, 计算 6 日收盘价格，与日期序号（1-6）的线性回归系数，(close / mean(close)) = beta * t + alpha
CR20,CR指标,动量类因子,,d, ①中间价=1日前的最高价+最低价/2 ②上升值=今天的最高价-前一日的中间价（负值记0） ③下跌值=前一日的中间价-今天的最低价（负值记0） ④多方强度=20天的上升值的和，空方强度=20天的下跌值的和 ⑤CR=（多方强度÷空方强度）×100
ROC60,60日变动速率,动量类因子,,d, ①AX=今天的收盘价—20天前的收盘价 ②BX=60天前的收盘价 ③ROC=AX/BX*100
bull_power,多头力道,动量类因子,,d," (最高价-EMA(close,13)) / close"
single_day_VPT_6,单日价量趋势6日均值,动量类因子,,d," MA(single_day_VPT, 6)"
TRIX10,10日终极指标TRIX,动量类因子,,d, MTR=收盘价的10日指数移动平均的10日指数移动平均的10日指数移动平均; TRIX=(MTR-1日前的MTR)/1日前的MTR*100
CCI10,10日顺势指标,动量类因子,,d," CCI:=(TYP-MA(TYP,N))/(0.015*AVEDEV(TYP,N)); TYP:=(HIGH+LOW+CLOSE)/3; N:=10"
CCI88,88日顺势指标,动量类因子,,d," CCI:=(TYP-MA(TYP,N))/(0.015*AVEDEV(TYP,N)); TYP:=(HIGH+LOW+CLOSE)/3; N:=88"
PLRC24,24日收盘价格与日期线性回归系数,动量类因子,,d, 计算 24 日收盘价格，与日期序号（1-24）的线性回归系数， (close / mean(close)) = beta * t + alpha
ROC6,6日变动速率,动量类因子,,d, ①AX=今天的收盘价—6天前的收盘价 ②BX=6天前的收盘价 ③ROC=AX/BX*100
fifty_two_week_close_rank,当前价格处于过去1年股价的位置,动量类因子,,d, 取过去的250个交易日各股的收盘价时间序列，每只股票按照从大到小排列，并找出当日所在的位置
MASS,梅斯线,动量类因子,,d," MASS(N1=9, N2=25, M=6)"
single_day_VPT,单日价量趋势,动量类因子,,d, （今日收盘价 - 昨日收盘价）/ 昨日收盘价 * 当日成交量  # (复权方法为基于当日前复权)
TRIX5,5日终极指标TRIX,动量类因子,,d, MTR=收盘价的5日指数移动平均的10日指数移动平均的5日指数移动平均; TRIX=(MTR-1日前的MTR)/1日前的MTR*100
Rank1M,1减去 过去一个月收益率排名与股票总数的比值,动量类因子,,d, 1-(Rank(个股20日收益) / 股票总数)
CCI15,15日顺势指标,动量类因子,,d," CCI:=(TYP-MA(TYP,N))/(0.015*AVEDEV(TYP,N)); TYP:=(HIGH+LOW+CLOSE)/3; N:=15"
market_cap,市值,基础科目及衍生类因子,,d, 市值
circulating_market_cap,流通市值,基础科目及衍生类因子,,d, 流通市值
LVGI,财务杠杆指数,质量类因子,,d, 本期(年报)资产负债率/上期(年报)资产负债率
GMI,毛利率指数,质量类因子,,d, 上期(年报)毛利率/本期(年报)毛利率
profit_margin_ttm,销售利润率TTM,质量类因子,,d, 营业利润/营业收入
margin_stability,盈利能力稳定性,质量类因子,,d, mean(GM)/std(GM); GM 为过去8年毛利率ttm
roic_ttm,投资资本回报率TTM,质量类因子,,d, 权益回报率=归属于母公司股东的净利润（TTM）/ 前四个季度投资资本均值; 投资资本=股东权益+负债合计-无息流动负债-无息非流动负债;             无息流动负债=应付账款+预收款项+应付职工薪酬+应交税费+其他应付款+一年内的递延收益+其它流动负债;             无息非流动负债=非流动负债合计-长期借款-应付债券；
